MachineID,CalibrationDate,TechnicianID,CalibrationType
M01,2021-09-03,T001,Full
M01,2021-09-13,T004,Full
M01,2021-05-31,T005,Partial
M01,2021-03-14,T005,Full
M01,2021-03-02,T005,Partial
M01,2021-05-05,T005,Full
M01,2021-01-25,T001,Partial
M01,2021-12-06,T005,Partial
M01,2021-08-10,T001,Partial
M01,2021-11-03,T004,Partial
M01,2021-06-28,T003,Full
M01,2021-01-09,T004,Partial
M01,2021-08-24,T002,Partial
M01,2021-10-11,T005,Partial
M01,2021-06-19,T004,Partial
M01,2021-07-26,T001,Partial
M01,2021-12-25,T002,Full
M01,2021-02-08,T004,Partial
M01,2021-08-15,T001,Full
M01,2021-10-24,T003,Full
M01,2021-01-26,T004,Partial
M01,2021-12-08,T004,Partial
M01,2021-01-10,T003,Partial
M01,2021-07-02,T002,Partial
M01,2021-09-14,T001,Partial
M01,2021-10-11,T002,Partial
M01,2021-06-15,T003,Full
M01,2021-10-25,T004,Full
M01,2021-06-14,T002,Full
M01,2021-11-10,T005,Full
M02,2021-03-17,T003,Partial
M02,2021-11-16,T005,Partial
M02,2021-04-10,T001,Partial
M02,2021-03-21,T004,Full
M02,2021-06-07,T004,Full
M02,2021-01-01,T001,Full
M02,2021-02-25,T003,Full
M02,2021-07-02,T001,Partial
M02,2021-05-05,T002,Partial
M02,2021-06-11,T003,Partial
M02,2021-09-22,T003,Partial
M02,2021-06-09,T003,Full
M02,2021-10-25,T004,Partial
M02,2021-12-17,T001,Full
M02,2021-09-01,T003,Full
M02,2021-12-06,T001,Full
M02,2021-05-08,T002,Partial
M02,2021-04-07,T005,Partial
M02,2021-07-12,T001,Partial
M02,2021-05-23,T002,Partial
M02,2021-10-19,T003,Partial
M02,2021-01-12,T004,Partial
M02,2021-04-26,T004,Partial
M02,2021-07-05,T005,Partial
M02,2021-11-12,T003,Full
M02,2021-08-22,T005,Full
M02,2021-10-04,T003,Partial
M02,2021-10-23,T002,Partial
M02,2021-05-31,T003,Partial
M02,2021-04-06,T003,Partial
M03,2021-01-31,T001,Partial
M03,2021-03-03,T002,Partial
M03,2021-08-25,T003,Partial
M03,2021-09-15,T005,Partial
M03,2021-03-23,T002,Full
M03,2021-07-23,T004,Full
M03,2021-02-27,T005,Partial
M03,2021-07-23,T002,Partial
M03,2021-06-10,T002,Full
M03,2021-04-30,T002,Partial
M03,2021-07-12,T004,Partial
M03,2021-12-25,T005,Partial
M03,2021-08-31,T002,Full
M03,2021-08-31,T003,Partial
M03,2021-01-24,T002,Partial
M03,2021-07-14,T002,Partial
M03,2021-03-20,T001,Partial
M03,2021-10-02,T004,Full
M03,2021-01-29,T001,Partial
M03,2021-01-21,T003,Partial
M03,2021-05-04,T001,Partial
M03,2021-06-01,T002,Partial
M03,2021-10-04,T003,Full
M03,2021-04-26,T005,Partial
M03,2021-04-26,T005,Full
M03,2021-05-15,T003,Partial
M03,2021-04-25,T005,Partial
M03,2021-02-20,T002,Full
M03,2021-04-20,T003,Partial
M03,2021-08-21,T003,Partial
M04,2021-08-09,T003,Partial
M04,2021-11-13,T002,Partial
M04,2021-02-10,T001,Full
M04,2021-03-31,T004,Partial
M04,2021-12-20,T005,Partial
M04,2021-04-25,T004,Full
M04,2021-05-26,T005,Partial
M04,2021-12-20,T001,Full
M04,2021-04-02,T002,Partial
M04,2021-04-15,T005,Full
M04,2021-12-11,T004,Partial
M04,2021-08-20,T004,Partial
M04,2021-10-28,T004,Full
M04,2021-12-02,T005,Full
M04,2021-03-31,T004,Full
M04,2021-01-01,T003,Partial
M04,2021-03-08,T005,Partial
M04,2021-03-27,T001,Partial
M04,2021-05-26,T001,Partial
M04,2021-08-26,T005,Partial
M04,2021-03-13,T001,Partial
M04,2021-12-25,T001,Partial
M04,2021-06-08,T002,Partial
M04,2021-03-06,T002,Full
M04,2021-02-06,T005,Partial
M04,2021-07-19,T003,Full
M04,2021-09-14,T002,Partial
M04,2021-06-14,T005,Partial
M04,2021-09-10,T001,Partial
M04,2021-11-03,T003,Full
M05,2021-09-09,T004,Full
M05,2021-09-08,T005,Partial
M05,2021-04-04,T002,Partial
M05,2021-06-24,T003,Partial
M05,2021-07-13,T001,Partial
M05,2021-06-02,T004,Partial
M05,2021-11-30,T001,Partial
M05,2021-06-15,T004,Full
M05,2021-12-31,T003,Partial
M05,2021-03-03,T004,Partial
M05,2021-11-12,T004,Partial
M05,2021-07-16,T004,Full
M05,2021-06-08,T003,Partial
M05,2021-10-24,T001,Full
M05,2021-05-27,T005,Partial
M05,2021-04-07,T003,Partial
M05,2021-10-03,T003,Partial
M05,2021-06-01,T002,Full
M05,2021-05-21,T004,Partial
M05,2021-04-01,T003,Partial
M05,2021-07-10,T005,Full
M05,2021-07-25,T004,Full
M05,2021-04-24,T005,Partial
M05,2021-02-02,T001,Partial
M05,2021-03-13,T003,Partial
M05,2021-12-26,T001,Partial
M05,2021-02-15,T003,Partial
M05,2021-11-03,T001,Partial
M05,2021-11-14,T003,Full
M05,2021-03-19,T002,Full
M06,2021-09-29,T003,Partial
M06,2021-06-26,T005,Partial
M06,2021-03-14,T003,Partial
M06,2021-04-02,T003,Full
M06,2021-01-27,T004,Partial
M06,2021-07-25,T003,Partial
M06,2021-01-24,T002,Full
M06,2021-07-08,T002,Full
M06,2021-07-22,T002,Partial
M06,2021-10-26,T004,Partial
M06,2021-08-15,T004,Full
M06,2021-02-13,T005,Partial
M06,2021-09-04,T001,Full
M06,2021-10-31,T005,Full
M06,2021-01-26,T005,Partial
M06,2021-06-20,T001,Partial
M06,2021-01-24,T004,Partial
M06,2021-10-21,T004,Partial
M06,2021-08-13,T002,Partial
M06,2021-08-02,T003,Full
M06,2021-03-09,T001,Full
M06,2021-10-17,T005,Full
M06,2021-09-15,T002,Partial
M06,2021-05-07,T004,Full
M06,2021-12-25,T001,Partial
M06,2021-11-08,T001,Partial
M06,2021-01-04,T004,Partial
M06,2021-01-02,T004,Full
M06,2021-06-21,T004,Partial
M06,2021-05-13,T001,Partial
M07,2021-12-19,T004,Full
M07,2021-01-16,T002,Full
M07,2021-10-20,T003,Full
M07,2021-01-22,T003,Partial
M07,2021-01-18,T002,Partial
M07,2021-04-21,T005,Partial
M07,2021-05-07,T002,Full
M07,2021-11-07,T003,Partial
M07,2021-09-06,T003,Full
M07,2021-11-28,T001,Partial
M07,2021-06-11,T002,Partial
M07,2021-09-01,T004,Partial
M07,2021-11-02,T003,Partial
M07,2021-03-06,T001,Partial
M07,2021-09-28,T001,Full
M07,2021-12-05,T003,Partial
M07,2021-01-22,T003,Partial
M07,2021-08-24,T005,Partial
M07,2021-03-06,T001,Partial
M07,2021-07-18,T001,Partial
M07,2021-03-28,T002,Partial
M07,2021-06-07,T005,Partial
M07,2021-01-27,T003,Full
M07,2021-10-02,T002,Full
M07,2021-06-18,T002,Partial
M07,2021-12-12,T004,Full
M07,2021-02-11,T002,Partial
M07,2021-09-18,T001,Partial
M07,2021-01-28,T002,Partial
M07,2021-01-04,T003,Partial
M08,2021-05-24,T005,Partial
M08,2021-11-14,T002,Partial
M08,2021-04-29,T001,Full
M08,2021-03-26,T001,Partial
M08,2021-11-13,T002,Partial
M08,2021-07-22,T003,Partial
M08,2021-06-01,T003,Full
M08,2021-07-27,T002,Partial
M08,2021-09-30,T002,Full
M08,2021-11-21,T003,Full
M08,2021-01-01,T005,Partial
M08,2021-09-28,T002,Full
M08,2021-01-21,T001,Partial
M08,2021-08-20,T002,Partial
M08,2021-10-24,T002,Partial
M08,2021-05-14,T004,Partial
M08,2021-10-09,T003,Partial
M08,2021-03-09,T004,Partial
M08,2021-07-03,T004,Full
M08,2021-08-17,T005,Partial
M08,2021-12-11,T003,Partial
M08,2021-07-11,T005,Partial
M08,2021-09-04,T004,Partial
M08,2021-07-05,T003,Partial
M08,2021-08-07,T005,Full
M08,2021-01-20,T004,Full
M08,2021-02-14,T004,Full
M08,2021-06-06,T004,Full
M08,2021-10-23,T003,Full
M08,2021-01-15,T004,Partial
M09,2021-09-03,T002,Partial
M09,2021-03-29,T004,Full
M09,2021-05-05,T005,Partial
M09,2021-03-31,T003,Partial
M09,2021-12-05,T001,Partial
M09,2021-01-09,T003,Partial
M09,2021-07-15,T003,Full
M09,2021-02-28,T005,Full
M09,2021-06-28,T004,Partial
M09,2021-06-28,T001,Partial
M09,2021-03-16,T002,Partial
M09,2021-05-07,T005,Partial
M09,2021-11-26,T001,Partial
M09,2021-01-16,T002,Partial
M09,2021-12-24,T005,Partial
M09,2021-01-03,T001,Full
M09,2021-08-16,T004,Partial
M09,2021-10-27,T004,Partial
M09,2021-12-13,T005,Partial
M09,2021-01-17,T004,Partial
M09,2021-11-22,T002,Partial
M09,2021-08-13,T005,Partial
M09,2021-01-05,T002,Full
M09,2021-05-05,T004,Full
M09,2021-05-01,T004,Partial
M09,2021-11-28,T001,Partial
M09,2021-11-02,T005,Partial
M09,2021-11-30,T002,Partial
M09,2021-06-05,T002,Partial
M09,2021-02-09,T001,Full
M10,2021-04-10,T002,Partial
M10,2021-11-22,T003,Partial
M10,2021-12-02,T001,Partial
M10,2021-01-22,T001,Partial
M10,2021-04-29,T002,Full
M10,2021-10-03,T005,Full
M10,2021-01-02,T004,Partial
M10,2021-05-30,T002,Partial
M10,2021-02-20,T005,Partial
M10,2021-02-15,T003,Partial
M10,2021-08-20,T005,Full
M10,2021-08-23,T003,Partial
M10,2021-12-07,T005,Partial
M10,2021-06-06,T004,Partial
M10,2021-06-05,T004,Partial
M10,2021-11-10,T003,Partial
M10,2021-07-07,T003,Full
M10,2021-07-18,T004,Partial
M10,2021-03-22,T002,Partial
M10,2021-03-30,T001,Partial
M10,2021-10-02,T004,Full
M10,2021-03-02,T001,Partial
M10,2021-04-08,T002,Partial
M10,2021-09-19,T004,Partial
M10,2021-10-18,T002,Partial
M10,2021-07-14,T001,Full
M10,2021-04-19,T001,Partial
M10,2021-02-08,T003,Partial
M10,2021-08-11,T004,Full
M10,2021-01-01,T002,Partial
